,#,Address,File #,Type,Status,Date Issued,Date Closed,Description
27,28,35 Harvard Rd,99 006718 000 00 PK,Backflow Devices - Building Permit,Closed,"May 12, 1999","Apr 14, 2000",2 Backflow Preventors - Main metre room (southern most metre room)
28,29,35 Harvard Rd,99 009007 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 11, 1999","Sep 21, 1999",Minor renovation to create a larger unit - PARAMOUNT SKI & SPORT- includes plbg
29,30,35 Harvard Rd,01 030655 000 00 PK,Backflow Devices - Building Permit,Closed,"Apr 02, 2001","Aug 07, 2001",1 Backflow   (location-Sprinkler System on Anti-Freeze Loop)
30,31,35 Harvard Rd,01 032225 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 05, 2001","Jul 31, 2001","Int. Renovations to Existing Restaurant.(Includes Plumbing, No HVAC). Unit #13-Bistro Six Restaurant"
31,32,35 Harvard Rd,01 033873 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 10, 2001","Sep 19, 2014",Interior Renovations to Create Medical Offices; Unit 16 (former Pharmacy area)(includes plbg & minor HVAC)
32,33,35 Harvard Rd,01 035955 000 00 PK,Backflow Devices - Building Permit,Closed,"Aug 09, 2001","Oct 31, 2001",1 Backflow (Premise Isolation)
33,34,35 Harvard Rd,01 036062 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 31, 2001","Jul 09, 2002","Interior renovations-add 3 offices (No Plumbing, Minor HVAC).  Unit 19"
34,35,35 Harvard Rd,01 038676 000 00 PS,Special Categories - Building Permit,Closed,"May 29, 2002","Dec 29, 2003","Entend Existing Outdoor Patio. 5'-7"" off grade.Shakespeare Arms"
35,36,35 Harvard Rd,02 046329 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 08, 2002","Jul 05, 2006","Interior Renovations to Existing Grocery Store. (Includes Plumbing, No HVAC)No Frills  Unit 8"
36,37,35 Harvard Rd,03 057431 000 00 SS,Sign Permit,Closed,"Jun 10, 2003","Aug 14, 2003",New building signs (3) - Portly Penguin
37,38,35 Harvard Rd,03 063373 000 GP PS,Special Categories - Building Permit,Closed,"Dec 03, 2003","Oct 25, 2004","Construct a Roof Over Existing Deck. (Roof Structure Only, No Side Walls or Enclosures Are Permitted) Shakespeare Arms"
38,39,35 Harvard Rd,04 073638 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 18, 2004","Sep 02, 2005","Reconstruct loading area cooler room & roof over dock  (Shakespear Arms)No Plumbing, Minor HVAC"
39,40,35 Harvard Rd,04 075034 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 14, 2005","Jun 01, 2006",Interior renovations - Remove existing interior partition walls(no HVAC no Plbg) Unit 26
40,41,35 Harvard Rd,06 000283 000 00 SS,Sign Permit,Closed,"May 03, 2006","May 03, 2006",New mall freestanding sign (replace existing)
41,42,35 Harvard Rd,06 001134 000 00 PK,Backflow Devices - Building Permit,Closed,"Mar 02, 2006","May 11, 2006","4 Backflow prevention devices 3 - 1/2"" RP, 1 - 1 1/2"" DCVA"
42,43,35 Harvard Rd,06 001471 000 00 PH,Mechanical Permit,Closed,"Apr 10, 2006","Apr 18, 2007",New Kitchen Exhaust Hood   (Shakespeare Arms)
43,44,35 Harvard Rd,07 000042 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 25, 2007","Dec 05, 2007",Interior Alterations -UNIT 2 - Food Prep. Store - Portions Distinctive Meals and More Inc.(Includes Minor Plumbing and Minor HVAC )
44,45,35 Harvard Rd,07 000324 000 00 PK,Backflow Devices - Building Permit,Closed,"Jan 17, 2007","Feb 04, 2007","1 Backflow Prevention Device to replace RP XR604 with 1/2"" DCVA ACM09"
45,46,35 Harvard Rd,07 001742 000 00 PH,Mechanical Permit,Closed,"Apr 05, 2007","Apr 25, 2007",Install New HVAC System  -Unit 15  (Clothing Store)
46,47,35 Harvard Rd,07 005852 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 14, 2007","Apr 18, 2008",Plumbing for new triple sink.  Includes re-location of sprinkler heads in ceiling. Unit 24
47,48,35 Harvard Rd,07 007175 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 27, 2007","Apr 25, 2008","Interior Renovation -Raising Floor-Unit 1- Philthy McNasty's Restaurant (No Plg, No HVAC)"
48,49,35 Harvard Rd,08 001794 000 00 CL,Complaint By-Law,Closed,"Apr 01, 2008","Sep 25, 2008",mobile sign
49,50,35 Harvard Rd,08 002695 000 00 PR,ICI Renovation - Building Permit,Closed,"May 22, 2008","Jul 09, 2008","Interior Renovation -Office Partition, New B/F Washroom (No HVAC)- Unit 3/4- Diaper Days"
50,51,35 Harvard Rd,08 009178 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 08, 2008","Sep 30, 2008",Interior Renovations- new office partitions (No Plbg No HVAC) Unit 7A (Massage Therapy)
51,52,35 Harvard Rd,09 000991 000 00 PH,Mechanical Permit,Closed,"Mar 05, 2009","Mar 11, 2009",Install 2 new sinks -Unit 26 -The Wandering Scott
52,53,35 Harvard Rd,09 002454 000 00 CL,Complaint By-Law,Closed,"May 14, 2009","Jun 02, 2010","Portable sign for Portions, no permit."
53,54,35 Harvard Rd,09 003468 000 00 PS,Special Categories - Building Permit,Closed,"Jul 21, 2009","Sep 23, 2010","Re-clad portion of building & construct new concrete block screen wall (No Plbg, No HVAC)"
54,55,35 Harvard Rd,09 005168 000 00 PH,Mechanical Permit,Closed,"Sep 14, 2009","Feb 02, 2010","7 Backflow Devices - (1)-3/4"" RP , (1)-1/2"" RP, (5) -1/2"" DCVA"
55,56,35 Harvard Rd,09 005706 000 00 SS,Sign Permit,Closed,"Oct 13, 2009","Jan 11, 2010","Building signs for Onward Computer Systems, Bodysystems Nutrition, Motion Plus Physiotherapy, Portions, ATG Diamond Outlet"
56,57,35 Harvard Rd,09 006174 000 00 SS,Sign Permit,Closed,"Oct 30, 2009","Jan 15, 2010",Building Signs - Harvard Plaza
57,58,35 Harvard Rd,09 006420 000 00 SS,Sign Permit,Closed,"Nov 12, 2009","Feb 03, 2011","Building Signs - Harvard Plaza - No Frills, Vince's Barber Shop, The Attic, Dr. Tom Costigane Dentist"
58,59,35 Harvard Rd,09 006600 000 00 SS,Sign Permit,Closed,"Nov 18, 2009","Jan 15, 2010","Building signs for Campus Estates Hairstyling, Philthy McNasty's, Dollar World Plus."
59,60,35 Harvard Rd,09 006855 000 01 PH,Mechanical Permit,Closed,"Jan 20, 2010","Mar 26, 2010",New Plbg. fixture (Hub drain)-Unit 13Revise to Revoke New Kitchen Exhaust Installation
60,61,35 Harvard Rd,09 006988 000 00 SS,Sign Permit,Closed,"Dec 03, 2009","Mar 03, 2010",Building sign for Diaper Days
61,62,35 Harvard Rd,09 007446 000 00 SS,Sign Permit,Closed,"Dec 24, 2009","Mar 24, 2010",Building sign for Campus Drugmart
62,63,35 Harvard Rd,10 000246 000 00 SS,Sign Permit,Closed,"Jan 19, 2010","Mar 24, 2010",Building sign for World's Pizza
63,64,35 Harvard Rd,10 000670 000 00 SS,Sign Permit,Closed,"Feb 08, 2010","Mar 24, 2010",Building sign for K Cleaners
64,65,35 Harvard Rd,10 000673 000 00 CL,Complaint By-Law,Closed,"Feb 08, 2010","Jun 02, 2010","Portable sign, no permit. Balance Intergrated"
65,66,35 Harvard Rd,10 000674 000 00 CL,Complaint By-Law,Closed,"Feb 08, 2010","Aug 16, 2010","Portable sign, no permit. The Attic"
66,67,35 Harvard Rd,10 000675 000 00 CL,Complaint By-Law,Closed,"Feb 08, 2010","Nov 30, 2010","Portable sign, no permit. State Farm Insurance"
67,68,35 Harvard Rd,10 000708 000 00 SS,Sign Permit,Closed,"Feb 10, 2010","Mar 03, 2010",Building signs for Campus Estates Shopping Centre
68,69,35 Harvard Rd,10 000709 000 00 SS,Sign Permit,Closed,"Feb 10, 2010","Mar 24, 2010",Building sign for Tom Yum - Thai-Vietnamese Cuisine
69,70,35 Harvard Rd,10 001587 000 00 SS,Sign Permit,Closed,"Mar 19, 2010","Apr 09, 2010",Building sign for Attic - Consignment Clothingalter existing sign
70,71,35 Harvard Rd,10 002067 000 00 SS,Sign Permit,Closed,"Apr 13, 2010","Jun 22, 2010",Building signs for Stone Road Family Medical Clinic
71,72,35 Harvard Rd,10 004882 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 29, 2010","Mar 07, 2011",Interior Alterations -UNIT 2 - Cora Restaurant  (Includes Plumbing & HVAC )See permit (#10-5325) for Demising walls
72,73,35 Harvard Rd,10 005325 000 00 PS,Special Categories - Building Permit,Closed,"Aug 26, 2010","Nov 04, 2010",Demising walls & New Water line feed -UNIT 2 - Cora Restaurant  Refer to permit #10-4882 for interior finishes.
73,74,35 Harvard Rd,10 005587 000 00 PS,Special Categories - Building Permit,Closed,"Sep 08, 2010","Dec 03, 2010",Demising Walls only  (Unit 14) -Popeyes Chicken Restaurant Refer to permit #10-6072 for interior finishes.
74,75,35 Harvard Rd,10 005808 000 00 SM,Temporary Sign Permit,Closed,"Sep 01, 2010","Feb 08, 2011",A-Frame sign for Wandering Scott
75,76,35 Harvard Rd,10 006072 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 20, 2010","Nov 03, 2011",Interior Renovations (Includes HVAC & Plbg.)- Unit 14 - Popeyes Chicken Restaurant See permit ( 10-5587 ) for Demising wall
76,77,35 Harvard Rd,10 006413 000 00 SS,Sign Permit,Closed,"Sep 17, 2010","Dec 16, 2010",Building sign for Cora Restaurant
77,78,35 Harvard Rd,10 006804 000 00 CL,Complaint By-Law,Closed,"Oct 01, 2010","Oct 04, 2010",Language on a mobile sign
78,79,35 Harvard Rd,10 007403 000 00 CL,Complaint By-Law,Closed,"Nov 02, 2010","Nov 23, 2010",Mobile signs too close
79,80,35 Harvard Rd,10 007664 000 00 SS,Sign Permit,Closed,"Nov 17, 2010","Jan 26, 2011",Building signs for Popeye's Louisiana Kitchen
80,81,35 Harvard Rd,10 008269 000 00 SS,Sign Permit,Closed,"Dec 22, 2010","Mar 23, 2011",Building sign for Rexall  Campus IDA
81,82,35 Harvard Rd,10 008308 000 00 SS,Sign Permit,Closed,"Dec 24, 2010","Mar 23, 2011",Building sign mentioning ATM. Unit 7C
82,83,35 Harvard Rd,11 000334 000 00 SS,Sign Permit,Closed,"Jan 24, 2011","Mar 30, 2011",Building sign for K Cleaner and Tailor
83,84,35 Harvard Rd,11 000725 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2011","Mar 03, 2011","Portable sign, no permit. Balance Intergrated"
84,85,35 Harvard Rd,11 000727 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2011","Mar 03, 2011",A-Frame sign no permit - ATG Diamond Outlet Guelph Inc.
85,86,35 Harvard Rd,11 000728 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2011","Nov 25, 2011","Portable sign, no permit. The Attic"
86,87,35 Harvard Rd,11 000831 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 11, 2011","Apr 19, 2011","Interior partition wall ( No Plumbing, No HVAC ). Unit 22 - Sole Kidz Shoe Store."
87,88,35 Harvard Rd,11 000889 000 00 SS,Sign Permit,Closed,"Feb 25, 2011","Mar 30, 2011","Building sign for Lombardo Fine Barbers, unit 5."
88,89,35 Harvard Rd,11 001070 000 00 CI,Property Inspection,Closed,"Mar 02, 2011","Jan 31, 2013",possible work carried  out without required building permit
89,90,35 Harvard Rd,11 001147 000 00 PR,ICI Renovation - Building Permit,Closed,"Apr 01, 2011","Sep 28, 2011",Interior Demolition & New Finishes ( Includes Plumbing & HVAC ) Unit 1 - Buffalo Wild Wings.
90,91,35 Harvard Rd,11 001350 000 00 SS,Sign Permit,Closed,"Mar 17, 2011","Jun 15, 2011",Building sign for Solekidz
91,92,35 Harvard Rd,11 002972 000 00 CI,Property Inspection,Closed,"Jun 02, 2011","Nov 25, 2011",Liquor Licence -Buffalo Wild Wings Grill & Bar (Unit 1)
92,93,35 Harvard Rd,11 003112 000 00 SS,Sign Permit,Closed,"Jun 08, 2011","Aug 10, 2011",Five building signs for Buffalo Wild Wing
93,94,35 Harvard Rd,11 003231 000 00 PS,Special Categories - Building Permit,Closed,"Jul 05, 2011","Aug 09, 2011","New Marquees mounted on existing building face (No HVAC, No Plbg.)"
94,95,35 Harvard Rd,11 003414 000 00 PS,Special Categories - Building Permit,Closed,"Jul 06, 2011","Nov 25, 2011",Erect two awnings  (no lettering) for Buffalo Wild Wings (Unit 1)
95,96,35 Harvard Rd,11 004315 000 00 SS,Sign Permit,Closed,"Jul 25, 2011","Oct 24, 2011",Building Sign for Harvard Road Dental Care
96,97,35 Harvard Rd,11 007807 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 04, 2011","Dec 19, 2011","Interior partition wall to create storage room in variety store( No Plbg, No HVAC ) Unit 15-Harvard Convenience"
97,98,35 Harvard Rd,11 012735 000 00 CL,Complaint By-Law,Closed,"Oct 28, 2011","Nov 25, 2011","Portable Sign for World's 2 for 1 Pizza, no permit"
98,99,35 Harvard Rd,11 012745 000 00 CL,Complaint By-Law,Closed,"Oct 28, 2011","Nov 25, 2011","Portable Sign for Diaper Days, no permit"
99,100,35 Harvard Rd,11 013029 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 24, 2011","Jan 27, 2012",Interior Renovationis (Includes Plbg & HVAC) Unit 25 - Fabutan
100,101,35 Harvard Rd,11 013318 000 00 SS,Sign Permit,Closed,"Nov 14, 2011","Feb 14, 2012",Building Sign for Fabutan.
101,102,35 Harvard Rd,11 013519 000 00 SS,Sign Permit,Closed,"Nov 17, 2011","Feb 15, 2012",Building Sign for Campus Estates Shopping Centre.
102,103,35 Harvard Rd,12 000185 000 00 CL,Complaint By-Law,Closed,"Jan 05, 2012","Jan 09, 2012","Mobile sign, no permit- The Wandering Scott"
103,104,35 Harvard Rd,12 001453 000 01 PR,ICI Renovation - Building Permit,Closed,"Feb 24, 2012","Mar 05, 2014","Close in existing openings in fire separation -Unit 17/18 - Campus DrugMartPermit amended March 12, 2012 - Door to remain. 3/4hr FPR req'd. Ref. 01-33873PR & 11-1070CI.Permit revised May 27, 2012 to include new partition wall in storage room."
104,105,35 Harvard Rd,12 006284 000 00 PH,Mechanical Permit,Closed,"Jun 01, 2012","Mar 15, 2013","2 Backflow Prevention Devices - one 1/2"" DCVA on ice machine, &one to replace RP with DCVA - Shakespear Arms"
105,106,35 Harvard Rd,12 007401 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 09, 2012","Nov 06, 2012",Interior Renovation for new restaurant (includes Plbg & HVAC) Unit 26 - V. Baguette
106,107,35 Harvard Rd,12 009328 000 00 SS,Sign Permit,Closed,"Aug 29, 2012","Oct 02, 2012",Building Sign for V Baguette
107,108,35 Harvard Rd,12 010830 000 00 SS,Sign Permit,Closed,"Sep 26, 2012","Jan 02, 2013",Building Sign for No Frills
108,109,35 Harvard Rd,12 012243 000 00 CL,Complaint By-Law,Closed,"Oct 09, 2012","Oct 11, 2012",No mobile sign permit- Fabutan
109,110,35 Harvard Rd,12 017988 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 22, 2013","Aug 07, 2014",Construct wall for reception area -Unit 16/17 - I & J Pharmacy Inc.
110,111,35 Harvard Rd,13 000099 000 00 CL,Complaint By-Law,Closed,"Jan 04, 2013","Jan 23, 2013",Portable Sign for The Attic - No Permit
111,112,35 Harvard Rd,13 000100 000 00 CL,Complaint By-Law,Closed,"Jan 04, 2013","Oct 09, 2013",Portable Sign for Balance Integrated Health Solutions - No Permit
112,113,35 Harvard Rd,13 000101 000 00 CL,Complaint By-Law,Closed,"Jan 04, 2013","Jan 29, 2013",Portable Sign for V-Baguette - No Permit
113,114,35 Harvard Rd,13 000106 000 00 CL,Complaint By-Law,Closed,"Jan 04, 2013","Mar 25, 2013",Portable Sign for Harvard Convenience - No Permit
114,115,35 Harvard Rd,13 009568 000 00 CL,Complaint By-Law,Closed,"Sep 18, 2013","Nov 04, 2013",Mobile sign not compliant with Sign By-law
115,116,35 Harvard Rd,14 003338 000 00 SS,Sign Permit,Closed,"May 21, 2014","Feb 01, 2016",Building Signs for NoFrills
116,117,35 Harvard Rd,14 004578 000 00 SS,Sign Permit,Closed,"Jun 17, 2014","Feb 01, 2016",Building Sign for Beauty Supply
117,118,35 Harvard Rd,14 004957 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 11, 2014","Nov 09, 2015",Interior Renovations to Existing Grocery Store. (Includes Plumbing & HVAC) -No Frills (Unit 8)
118,119,35 Harvard Rd,14 005142 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 24, 2014","Dec 16, 2014","Interior Renovations to build a storage room  (No Plbg., No HVAC) -Unit 16 - Haircues (Retail). Refer to Separate Permit 14-6441 for additional work."
119,120,35 Harvard Rd,14 006441 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 18, 2014","Sep 11, 2014",Remove double doors within demising wall & remove washroom-Unit 16 (No HVAC)See Permit (14-5142) for Interior Renovations of Unit 16.
120,121,35 Harvard Rd,14 007358 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 15, 2014","Nov 10, 2014",Interior Renovations  (Incl. Plbg. & HVAC) -Unit 20 - Harvard Nails & Spa
121,122,35 Harvard Rd,14 007838 000 00 SS,Sign Permit,Closed,"Sep 08, 2014","Feb 01, 2016",Illuminated Fascia Sign with Individual Channel Letters - 0.610m x 3.658m
122,123,35 Harvard Rd,14 009870 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 25, 2014","Apr 22, 2015","Interior Renovation (855 ft²), (Including Plumbing and HVAC) - Unit #7, barBURRITO"
123,124,35 Harvard Rd,14 011447 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 15, 2015","May 21, 2015",Interior Renovations  (Incl. Plbg. & HVAC) -Unit 19- ZOUP !
124,125,35 Harvard Rd,15 000117 000 00 PH,Mechanical Permit,Closed,"Jan 12, 2015","Jul 29, 2015","1Backflow Prevention Device -3/4"" DCVA on Ice Machine-Unit 2 -Cora's Breakfast and Lunch"
125,126,35 Harvard Rd,15 000118 000 00 PH,Mechanical Permit,Closed,"Jan 12, 2015","Jan 26, 2015","1 Backflow Prevention Device -3/4"" DCVA on Ice Machine (Unit 14- Popeyes Louisianna Kitchen)"
126,127,35 Harvard Rd,15 000209 000 00 CL,Complaint By-Law,Closed,"Jan 12, 2015","Jun 16, 2015",Pylon Sign
127,128,35 Harvard Rd,15 000479 000 00 SS,Sign Permit,Closed,"Feb 04, 2015","Nov 14, 2017",Three Building Signs - No Frills
128,129,35 Harvard Rd,15 000979 000 00 SS,Sign Permit,Closed,"Feb 18, 2015","Mar 04, 2016",New Building Sign (Units 17/18-Campus IDA Pharmacy
129,130,35 Harvard Rd,15 001529 000 00 PH,Mechanical Permit,Closed,"Mar 23, 2015","Jun 03, 2015",Kitchen Exhaust Hood (Unit 26) -Pita Hut
130,131,35 Harvard Rd,15 001804 000 00 SS,Sign Permit,Closed,"Apr 02, 2015","Mar 04, 2016",New Building Sign-ZOUP (Unit 19)
131,132,35 Harvard Rd,15 002247 000 00 SS,Sign Permit,Closed,"Apr 22, 2015","Mar 04, 2016",Illuminated Fascia Sign for Pita Hut
132,133,35 Harvard Rd,15 009888 000 00 PH,Mechanical Permit,Closed,"Dec 10, 2015","Dec 23, 2015","Relocate 3/4"" Backflow Device - Unit 1, Buffalo Wild Wing"
133,134,35 Harvard Rd,16 000395 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 17, 2016","Mar 31, 2016","Interior Renovations- (No Plbg., No HVAC) Unit 9 - Great Canadian Dollar Store"
134,135,35 Harvard Rd,16 003968 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 12, 2016","Sep 12, 2016",Interior Renovations to combine units  (Minor Plbg. & Minor HVAC) -Unit 21/22- Physio Clinic
135,136,35 Harvard Rd,17 003163 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 14, 2017","Jul 21, 2017",Loading Dock Repair to Existing Grocery Store. (No Plumbing & HVAC) -Unit 8
136,137,35 Harvard Rd,18 000139 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 09, 2018","May 03, 2018",Interior renovations (incl. plumbing and hvac) - Chatime Tea House Unit 24
137,138,35 Harvard Rd,18 000200 000 00 CL,Complaint By-Law,Closed,"Jan 16, 2018","Feb 06, 2018",possible portable sign no permit - The Attic
138,139,35 Harvard Rd,18 000201 000 00 CL,Complaint By-Law,Closed,"Jan 16, 2018","Feb 28, 2018",possible portable sign no permit - Pita Hut
139,140,35 Harvard Rd,18 000644 000 00 SM,Temporary Sign Permit,Closed,"Feb 06, 2018","Mar 17, 2020","2018 Portable Sign - The Atticsign size - 36"" x 30"""
140,141,35 Harvard Rd,18 000673 000 00 PH,Mechanical Permit,Closed,"Feb 08, 2018","Apr 30, 2018",No Frills- Plumbing Only- Installation of Drains to Accommodate new freezers
141,142,35 Harvard Rd,18 000779 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2018","Jul 17, 2018",possible portable sign no permit - Balance Integrated Health Solutions
142,143,35 Harvard Rd,18 000780 000 00 CL,Complaint By-Law,Closed,"Feb 09, 2018","Apr 24, 2018",possible portable sign no permit - Great Canadian Dollar Store
143,144,35 Harvard Rd,18 001088 000 00 SS,Sign Permit,Closed,"Apr 04, 2018","May 03, 2018",Building Sign - Chatime
144,145,35 Harvard Rd,18 001092 000 00 SS,Sign Permit,Closed,"Apr 04, 2018","May 03, 2018",Building Sign - No Frills
145,146,35 Harvard Rd,18 001262 000 00 CI,Property Inspection,Closed,"Mar 02, 2018","Aug 08, 2018",possible work carried out without required building permit
146,147,35 Harvard Rd,18 001432 000 00 CL,Complaint By-Law,Closed,"Mar 09, 2018","Apr 24, 2018",possible flashing sign - Harvard Nails and Spa
147,148,35 Harvard Rd,18 003369 000 00 PH,Mechanical Permit,Closed,"May 31, 2018","Nov 05, 2018",Kitchen Hood Ventilation and Fire Suppression - Pizza Depot (unit 10)
148,149,35 Harvard Rd,18 006141 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 09, 2018","Dec 17, 2018",Construct demising wall between units 3 and 4 add new exit and demolish existing partition walls
149,150,35 Harvard Rd,18 006142 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 09, 2018","Nov 30, 2018","Tenant finishes for hearing clinic (minor plumbing - relocate 1 sink add 1 new sink, minor hvac - extending two ducts by a foot) Unit 4"
150,151,35 Harvard Rd,18 007783 000 00 SS,Sign Permit,Issued,"Apr 12, 2019",1 Building Sign - Hear Canada,
151,152,35 Harvard Rd,19 006153 000 00 SS,Sign Permit,Issued,"Oct 30, 2019",1 Building Sign - Kolkata Club,
152,153,35 Harvard Rd,19 006170 000 01 PH,Mechanical Permit,Closed,"Sep 11, 2019","Nov 18, 2019",Enlarging existing hood rangeRevised- NEW HOOD & EXHAUST FAN
153,154,35 Harvard Rd,19 007401 000 00 CI,Property Inspection,Closed,"Oct 30, 2019","Mar 04, 2020",Liquor License Letter.
154,155,35 Harvard Rd,20 003848 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 11, 2020","Dec 17, 2020",Interior renovations (Includes HVAC and Plumbing) - Osmows.
155,156,35 Harvard Rd,21 003560 000 00 PR,ICI Renovation - Building Permit,Closed,"Jul 23, 2021","Feb 10, 2022",Interior Alterations (Incl. HVAC & PLBG) - D SPOT Café  (Unit 3 )
156,157,35 Harvard Rd,21 004236 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 20, 2021","Feb 07, 2022",Replace roof-top HVAC unit with structural reinforcement on existing roof -Unit 3
157,158,35 Harvard Rd,21 006394 000 00 SS,Sign Permit,Refused,1 Building Sign - Dspot Desserts,,
158,159,35 Harvard Rd,21 006576 000 00 SM,Temporary Sign Permit,Closed,"Nov 05, 2021","Jan 12, 2022",November 16 2021 to December 15 2021. Shakespeare Arms
159,160,35 Harvard Rd,22 000248 000 00 CI,Property Inspection,Closed,"Jan 18, 2022","May 06, 2022",Liquor License Letter - The Owl of Minerva
160,161,35 Harvard Rd,22 000591 000 00 SM,Temporary Sign Permit,Closed,"Feb 08, 2022","Mar 29, 2022",February 8 2022 to March 9 2022. City Pizza
161,162,35 Harvard Rd,22 000843 000 00 CI,Property Inspection,Order Issued,"Feb 18, 2022",possible work carried out without required building permit,
162,163,35 Harvard Rd,22 001259 000 00 BPR,ICI Renovation,Issued,"Apr 26, 2022",Interior Alterations  with a Change of Use (D to E) (Incl. HVAC & PLBG) -Mac'n Wings (Unit 25),
163,164,35 Harvard Rd,22 001327 000 00 BPR,ICI Renovation,Complete,"Apr 19, 2022","Jun 23, 2022",Interior Alterations w/ a Change of Use from D to E(Incl. HVAC & PLBG) -Tokyo Smoke Guelph (Unit 7A)
164,165,35 Harvard Rd,22 002309 000 00 BPR,ICI Renovation,Issued,"Jun 29, 2022",Interior Alterations for take-out restaurant(no-seat) (Incl. HVAC & PLBG) -Chung Chun Hotdog (Unit 16 ),
165,166,35 Harvard Rd,22 002358 000 00 SS,Sign Permit,Refused,1 Building Sign - Tokyo Smoke Cannabis,,
166,167,35 Harvard Rd,22 002383 000 00 SM,Temporary Sign Permit,Closed,"May 17, 2022","Jun 24, 2022",May 19 2022 to June 17 2022. Motion Plus Physiotherapy for Canadian Blood Services
167,168,35 Harvard Rd,22 003343 000 00 SS,Sign Permit,Issued,"Jul 07, 2022",1 Building Sign - Mac & Wings,
168,169,35 Harvard Rd,22 003372 000 00 CA,Committee of Adjustment,Deferred,Variance to permit additional uses.,,
169,170,35 Harvard Rd,22 003694 000 00 SM,Temporary Sign Permit,Issued,"Jun 30, 2022",July 6 2022 to August 4 2022. BarBurrito,
170,171,35 Harvard Rd,22 004028 000 00 SM,Temporary Sign Permit,Issued,"Aug 04, 2022",August 5 2022 to September 3 2022. Chungchun Rice Hot Dog,
171,172,35 Harvard Rd,22 004109 000 00 SM,Temporary Sign Permit,Issued,"Jul 26, 2022",August 15 2022 to September 13 2022. Tokyo Smoke,
172,173,35 Harvard Rd,22 004110 000 00 SM,Temporary Sign Permit,Issued,"Jul 26, 2022",September 14 2022 to October 13 2022. Tokyo Smoke,
0,1,292 Stone Rd W,86 022532 000 00 PT,Tenant Finishes - Building Permit,Closed,"Feb 20, 1986","Oct 04, 1996",
1,2,292 Stone Rd W,86 024128 000 00 PT,Tenant Finishes - Building Permit,Closed,"Sep 02, 1986","Oct 04, 1996",
2,3,292 Stone Rd W,91 036646 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 21, 1991","Feb 20, 2002",
3,4,292 Stone Rd W,94 001317 000 00 SS,Sign Permit,Closed,"Aug 30, 1994","Dec 06, 1995",Fascia Sign Microplay Video Games
4,5,292 Stone Rd W,95 023721 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 22, 1995","Nov 07, 1995",Interior Renovations -Unit 7Midnight Sun Tanning Salon   (Plumbing & HVAC included)
5,6,292 Stone Rd W,96 029927 000 00 PP,Plumbing Permit,Closed,"Jun 10, 1996","Oct 04, 1996",Install 5 Beautician Sinks for barber shop.This permit also includes interior finishes to this suite.
6,7,292 Stone Rd W,96 033672 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 02, 1996","Apr 10, 2013","Inter. renovations to UNIT 1 - BURGER KING(Plmg: new washroom sinks, no HVAC)"
7,8,292 Stone Rd W,96 034410 000 00 SS,Sign Permit,Closed,"Oct 21, 1996","Jan 03, 1997",wall sign for Mark's Work WearHouse
8,9,292 Stone Rd W,97 037505 000 00 PS,Special Categories - Building Permit,Closed,"Feb 17, 1997","Feb 26, 1997","New Demising Wall - 1 hour Fire Separation  (No HVAC, no Plumbing included)"
9,10,292 Stone Rd W,97 037776 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 20, 1997","Dec 27, 2000",Interior Renovation (Plbg included) Separate permit required for HVAC
